Time,Open,High,Low,Close
2025-01-01 00:00:00,2600.0,2604.8,2599.65,2603.8
2025-01-01 00:30:00,2603.8,2608.51,2602.89,2607.65
2025-01-01 01:00:00,2607.65,2610.56,2605.98,2610.18
2025-01-01 01:30:00,2610.18,2611.64,2603.97,2605.35
2025-01-01 02:00:00,2605.35,2605.85,2603.81,2604.09
2025-01-01 02:30:00,2604.09,2606.9,2603.49,2606.43
2025-01-01 03:00:00,2606.43,2606.91,2604.8,2605.31
2025-01-01 03:30:00,2605.31,2605.59,2602.42,2603.11
2025-01-01 04:00:00,2603.11,2603.51,2599.32,2600.95
2025-01-01 04:30:00,2600.95,2603.42,2599.84,2603.21
2025-01-01 05:00:00,2603.21,2605.46,2602.4,2605.31
2025-01-01 05:30:00,2605.31,2605.94,2604.83,2605.44
2025-01-01 06:00:00,2605.44,2606.3,2605.17,2605.36
2025-01-01 06:30:00,2605.36,2606.34,2604.36,2605.05
2025-01-01 07:00:00,2605.05,2606.31,2603.09,2604.7
2025-01-01 07:30:00,2604.7,2606.13,2603.05,2603.34
2025-01-01 08:00:00,2603.34,2607.59,2603.12,2605.3
2025-01-01 08:30:00,2605.3,2606.3,2604.18,2604.79
2025-01-01 09:00:00,2604.79,2608.09,2602.61,2607.98
2025-01-01 09:30:00,2607.98,2608.57,2607.69,2608.36
2025-01-01 10:00:00,2608.36,2609.02,2603.36,2604.74
2025-01-01 10:30:00,2604.74,2605.19,2600.45,2601.04
2025-01-01 11:00:00,2601.04,2603.07,2600.7,2601.56
2025-01-01 11:30:00,2601.56,2601.84,2600.18,2600.63
2025-01-01 12:00:00,2600.63,2602.07,2600.36,2601.0
2025-01-01 12:30:00,2601.0,2606.37,2599.87,2605.62
2025-01-01 13:00:00,2605.62,2615.86,2604.45,2613.97
2025-01-01 13:30:00,2613.97,2616.79,2612.43,2614.39
2025-01-01 14:00:00,2614.39,2616.83,2614.23,2615.7
2025-01-01 14:30:00,2615.7,2620.71,2614.85,2618.41
2025-01-01 15:00:00,2618.41,2620.22,2615.75,2617.57
2025-01-01 15:30:00,2617.57,2621.22,2616.52,2619.81
2025-01-01 16:00:00,2619.81,2623.13,2619.25,2620.75
2025-01-01 16:30:00,2620.75,2624.01,2619.11,2623.29
2025-01-01 17:00:00,2623.29,2625.26,2621.15,2622.26
2025-01-01 17:30:00,2622.26,2626.24,2621.97,2625.53
2025-01-01 18:00:00,2625.53,2626.89,2622.93,2623.83
2025-01-01 18:30:00,2623.83,2624.62,2623.25,2623.82
2025-01-01 19:00:00,2623.82,2624.84,2622.99,2623.88
2025-01-01 19:30:00,2623.88,2624.53,2621.41,2623.47
2025-01-01 20:00:00,2623.47,2628.26,2621.83,2628.21
2025-01-01 20:30:00,2628.21,2629.34,2626.61,2628.65
2025-01-01 21:00:00,2628.65,2629.38,2625.65,2626.15
2025-01-01 21:30:00,2626.15,2627.37,2624.5,2625.15
2025-01-01 22:00:00,2625.15,2625.86,2621.95,2622.5
2025-01-01 22:30:00,2622.5,2624.91,2617.36,2618.75
2025-01-01 23:00:00,2618.75,2622.2,2616.24,2621.2
2025-01-01 23:30:00,2621.2,2626.39,2619.13,2625.57
2025-01-02 00:00:00,2625.57,2625.8,2625.45,2625.52
2025-01-02 00:30:00,2625.52,2626.14,2620.41,2621.33
2025-01-02 01:00:00,2621.33,2622.06,2617.33,2618.73
2025-01-02 01:30:00,2618.73,2619.35,2613.98,2615.03
2025-01-02 02:00:00,2615.03,2616.91,2613.84,2615.98
2025-01-02 02:30:00,2615.98,2616.11,2614.1,2615.78
2025-01-02 03:00:00,2615.78,2617.99,2614.94,2617.82
2025-01-02 03:30:00,2617.82,2618.33,2612.3,2613.63
2025-01-02 04:00:00,2613.63,2616.78,2613.05,2615.26
2025-01-02 04:30:00,2615.26,2616.4,2612.38,2612.62
2025-01-02 05:00:00,2612.62,2616.35,2612.52,2614.99
2025-01-02 05:30:00,2614.99,2615.17,2614.21,2615.09
2025-01-02 06:00:00,2615.09,2617.51,2613.96,2617.12
2025-01-02 06:30:00,2617.12,2618.21,2614.43,2614.83
2025-01-02 07:00:00,2614.83,2615.21,2614.61,2615.01
2025-01-02 07:30:00,2615.01,2616.64,2611.12,2612.17
2025-01-02 08:00:00,2612.17,2613.58,2611.01,2613.2
2025-01-02 08:30:00,2613.2,2616.18,2612.5,2615.28
2025-01-02 09:00:00,2615.28,2615.78,2611.5,2612.71
2025-01-02 09:30:00,2612.71,2617.67,2611.38,2615.8
2025-01-02 10:00:00,2615.8,2617.71,2611.26,2611.5
2025-01-02 10:30:00,2611.5,2612.26,2608.38,2608.95
